Tick 2(0), Delay 3671 ms, IGT 00:00.000, RTA 00:-3.-671-00:00.000, due world load
Tick 3(1), Delay 59 ms, IGT 00:00.050, RTA 00:00.-59-00:00.000
Tick 4(2), Delay 42 ms, IGT 00:00.100, RTA 00:00.000-00:00.042
Tick 5(3), Delay 38 ms, IGT 00:00.150, RTA 00:00.042-00:00.080
Tick 1026(1024), Delay 57 ms, IGT 00:51.200, RTA 00:51.076-00:51.133
Tick 1027(1025), Delay 43 ms, IGT 00:51.250, RTA 00:51.133-00:51.176
Tick 1105(1103), Delay 55 ms, IGT 00:55.150, RTA 00:55.025-00:55.080
Tick 1191(1189), Delay 55 ms, IGT 00:59.450, RTA 00:59.326-00:59.381
Tick 1887(1885), Delay 39737 ms, IGT 01:34.250, RTA 01:34.128-02:13.865
Tick 1902(1900), Delay 2036 ms, IGT 01:35.000, RTA 02:14.567-02:16.603
Tick 1969(1967), Delay 2752 ms, IGT 01:38.350, RTA 02:19.904-02:22.656
Tick 2089(2087), Delay 4114 ms, IGT 01:44.350, RTA 02:28.608-02:32.722
Tick 2098(2096), Delay 890 ms, IGT 01:44.800, RTA 02:33.124-02:34.014
Tick 2116(2114), Delay 890 ms, IGT 01:45.700, RTA 02:34.864-02:35.754
Tick 2317(2315), Delay 1048 ms, IGT 01:55.750, RTA 02:45.753-02:46.801
Tick 2371(2369), Delay 2906 ms, IGT 01:58.450, RTA 02:49.448-02:52.354
Tick 2415(2413), Delay 16630 ms, IGT 02:00.650, RTA 02:54.503-03:11.133
Tick 2419(2417), Delay 44 ms, IGT 02:00.850, RTA 03:11.288-03:11.332
Tick 2426(2424), Delay 45 ms, IGT 02:01.200, RTA 03:11.637-03:11.682
Tick 2427(2425), Delay 55 ms, IGT 02:01.250, RTA 03:11.682-03:11.737
Tick 2430(2428), Delay 45 ms, IGT 02:01.400, RTA 03:11.837-03:11.882
Tick 2462(2460), Delay 1297 ms, IGT 02:03.000, RTA 03:13.437-03:14.734
Tick 2552(2550), Delay 55 ms, IGT 02:07.500, RTA 03:19.181-03:19.236
Tick 2554(2552), Delay 43 ms, IGT 02:07.600, RTA 03:19.289-03:19.332
Tick 2579(2577), Delay 55 ms, IGT 02:08.850, RTA 03:20.531-03:20.586
Tick 2580(2578), Delay 45 ms, IGT 02:08.900, RTA 03:20.586-03:20.631
Tick 2581(2579), Delay 56 ms, IGT 02:08.950, RTA 03:20.631-03:20.687
Tick 2670(2668), Delay 57 ms, IGT 02:13.400, RTA 03:25.082-03:25.139
Tick 2671(2669), Delay 45 ms, IGT 02:13.450, RTA 03:25.139-03:25.184
Tick 2727(2725), Delay 18554 ms, IGT 02:16.250, RTA 03:27.934-03:46.488
Tick 2895(2893), Delay 55 ms, IGT 02:24.650, RTA 03:54.838-03:54.893
Tick 2943(2941), Delay 3707 ms, IGT 02:27.050, RTA 03:57.242-04:00.949
Tick 3008(3006), Delay 4391 ms, IGT 02:30.300, RTA 04:04.151-04:08.542
