No   IGT            Start RTA      End RTA        Length     Retime?    Reason / Notice
1    01:34.200      01:34.131      02:13.831      39.700     39.700     Paused by player, Unpause by player
2    01:34.950      02:14.569      02:16.555      1.986      1.986      Paused by player, Unpause by player
3    01:38.300      02:19.908      02:22.646      2.738      2.738      Paused by player, Unpause by player
4    01:44.300      02:28.611      02:32.684      4.073      4.073      Paused by player, Unpause by player
5    01:44.750      02:33.127      02:33.983      0.856      0.856      Paused by player, Unpause by player
6    01:45.650      02:34.867      02:35.707      0.840      0.840      Paused by player, Unpause by player
7    01:55.700      02:45.756      02:46.752      0.996      0.996      Paused by player, Unpause by player
8    01:58.400      02:49.457      02:52.324      2.867                 Paused by player, Unpause by player / changed options (2)
9    02:00.600      02:54.506      03:11.091      16.585     16.585     Paused by player, Unpause by player
10   02:02.950      03:13.441      03:14.732      1.291      1.291      Paused by player, Unpause by player
11   02:16.200      03:27.938      03:46.487      18.549     18.549     Paused by player, Unpause by player
12   02:27.000      03:57.246      04:00.908      3.662      3.662      Paused by player, Unpause by player
13   02:30.250      04:04.155      04:08.528      4.373      4.373      Paused by player, Unpause by player
14   02:42.800      04:21.046      04:24.321      3.275      3.275      Paused by player, Unpause by player
15   03:47.900      05:29.414      05:32.126      2.712      2.712      Paused by player, Unpause by player
16   03:52.050      05:36.253      05:37.913      1.660      1.660      Paused by player, Unpause by player
17   04:33.500      06:19.331      06:31.139      11.808     11.808     Paused by player, Unpause by player
18   04:39.900      06:37.498      06:38.383      0.885      0.885      Paused by player, Unpause by player
19   04:40.350      06:38.810      06:39.921      1.111      1.111      Paused by player, Unpause by player
20   04:41.600      06:41.133      06:42.181      1.048      1.048      Paused by player, Unpause by player
21   04:42.550      06:43.095      06:44.526      1.431      1.431      Paused by player, Unpause by player
22   04:49.200      06:51.161      07:00.309      9.148      9.148      Paused by player, Unpause by player
23   04:50.600      07:01.728      07:02.609      0.881      0.881      Paused by player, Unpause by player
24   04:56.300      07:08.261      07:10.638      2.377      2.377      Paused by player, Unpause by player
25   04:59.500      07:13.825      08:22.631      68.806     68.806     Paused by player, Unpause by player
26   05:00.400      08:23.501      08:29.764      6.263      6.263      Paused by player, Unpause by player
27   05:02.650      08:31.974      08:32.848      0.874      0.874      Paused by player, Unpause by player
28   05:12.850      08:43.034      08:58.400      15.366     15.366     Paused by player, Unpause by player
29   05:43.550      09:29.072      09:43.403      14.331     14.331     Paused by player, Unpause by player
30   05:49.600      09:49.444      09:52.802      3.358      3.358      Paused by player, Unpause by player
31   05:52.600      09:55.786      10:03.829      8.043      8.043      Paused by player, Unpause by player
32   07:51.450      12:02.673      12:15.542      12.869     12.869     Paused by player, Unpause by player
33   10:57.900      15:21.979      15:23.167      1.188                 Paused by player, Unpause by player / changed option
34   10:58.300      15:23.548      15:25.701      2.153                 Paused by player, Unpause by player / changed option
0    11:46.200      16:13.584      16:17.720      4.136                 Paused by player, Unpause by rendered
1    28:31.957      33:24.314      33:33.747      9.433      9.433      Paused by player, Unpause by player
2    28:37.857      33:39.653      33:46.818      7.165      7.165      Paused by player, Unpause by player
3    29:14.507      34:23.458      35:31.218      67.760     67.760     Paused by player, Unpause by player
4    33:04.957      39:21.646      39:22.788      1.142      1.142      Paused by player, Unpause by player
5    33:23.457      39:41.270      40:00.154      18.884     18.884     Paused by player, Unpause by player
6    35:48.357      42:25.094      43:55.264      90.170     90.170     Paused by player, Unpause by player
7    36:48.907      44:55.784      44:57.116      1.332      1.332      Paused by player, Unpause by player
8    36:53.807      45:02.007      45:03.105      1.098      1.098      Paused by player, Unpause by player
9    36:55.007      45:04.292      45:05.084      0.792      0.792      Paused by player, Unpause by player
10   36:56.107      45:06.176      45:07.177      1.001      1.001      Paused by player, Unpause by player
